File,Line,Rule,Category,Priority,Description,Class,Method,Variable
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",164,"LongVariable","Code Style",3,"Avoid excessively long variable names like executionTimeMillis","Builder","executionTime","executionTimeMillis"
"streamconverter-core/src/main/java/com/streamConverter/Main.java",1,"PackageCase","Code Style",3,"Package name contains upper case characters","Main","",""
"streamconverter-core/src/main/java/com/streamConverter/Main.java",18,"ShortClassName","Code Style",4,"Avoid short class names like Main","Main","",""
"streamconverter-core/src/main/java/com/streamConverter/Main.java",18,"UseUtilityClass","Design",3,"This utility class has a non-private constructor","Main","",""
"streamconverter-core/src/main/java/com/streamConverter/Main.java",29,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'commands' could be declared final","Main","main","commands"
"streamconverter-core/src/main/java/com/streamConverter/Main.java",32,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'converter' could be declared final","Main","main","converter"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",1,"PackageCase","Code Style",3,"Package name contains upper case characters","StreamConverter","",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",31,"LongVariable","Code Style",3,"Avoid excessively long variable names like DEFAULT_BUFFER_SIZE","StreamConverter","","DEFAULT_BUFFER_SIZE"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",32,"ImmutableField","Design",3,"Field 'commands' may be declared final","StreamConverter","","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",42,"UseVarargs","Best Practices",4,"Consider using varargs for methods or constructors which take an array the last parameter.","StreamConverter","StreamConverter","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",42,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'commands' is not assigned and could be declared final","StreamConverter","StreamConverter","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",57,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'commands' is not assigned and could be declared final","StreamConverter","StreamConverter","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",73,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'commands' is not assigned and could be declared final","StreamConverter","create","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",85,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'commands' is not assigned and could be declared final","StreamConverter","create","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",100,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'context' is not assigned and could be declared final","StreamConverter","createWithContext","context"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",100,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'commands' is not assigned and could be declared final","StreamConverter","createWithContext","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",102,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'converter' could be declared final","StreamConverter","createWithContext","converter"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",118,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'context' is not assigned and could be declared final","StreamConverter","createWithContext","context"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",118,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'commands' is not assigned and could be declared final","StreamConverter","createWithContext","commands"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",120,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'converter' could be declared final","StreamConverter","createWithContext","converter"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",131,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'availableCores' could be declared final","StreamConverter","createOptimalExecutor","availableCores"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",132,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'optimalSize' could be declared final","StreamConverter","createOptimalExecutor","optimalSize"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",144,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'inputStream' is not assigned and could be declared final","StreamConverter","run","inputStream"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",144,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'outputStream' is not assigned and could be declared final","StreamConverter","run","outputStream"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",147,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'contextToUse' could be declared final","StreamConverter","run","contextToUse"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",162,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'inputStream' is not assigned and could be declared final","StreamConverter","run","inputStream"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",162,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'outputStream' is not assigned and could be declared final","StreamConverter","run","outputStream"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",162,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'context' is not assigned and could be declared final","StreamConverter","run","context"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",183,"NcssCount","Design",3,"The method 'executeMultipleCommandsWithMDC(InputStream, OutputStream, ExecutionContext)' has a NCSS line count of 67.","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",183,"CognitiveComplexity","Design",3,"The method 'executeMultipleCommandsWithMDC(InputStream, OutputStream, ExecutionContext)' has a cognitive complexity of 34, current threshold is 15","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",183,"CyclomaticComplexity","Design",3,"The method 'executeMultipleCommandsWithMDC(InputStream, OutputStream, ExecutionContext)' has a cyclomatic complexity of 17.","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",184,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'inputStream' is not assigned and could be declared final","StreamConverter","executeMultipleCommandsWithMDC","inputStream"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",184,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'outputStream' is not assigned and could be declared final","StreamConverter","executeMultipleCommandsWithMDC","outputStream"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",184,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'context' is not assigned and could be declared final","StreamConverter","executeMultipleCommandsWithMDC","context"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",186,"CloseResource","Error Prone",3,"Ensure that resources like this ExecutorService object are closed after use","StreamConverter","executeMultipleCommandsWithMDC","executor"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",186,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'executor' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","executor"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",187,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'futures' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","futures"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",188,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'resources' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","resources"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",195,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'command' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","command"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",198,"CloseResource","Error Prone",3,"Ensure that resources like this InputStream object are closed after use","StreamConverter","executeMultipleCommandsWithMDC","commandInput"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",199,"CloseResource","Error Prone",3,"Ensure that resources like this OutputStream object are closed after use","StreamConverter","executeMultipleCommandsWithMDC","commandOutput"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",206,"CloseResource","Error Prone",3,"Ensure that resources like this PipedOutputStream object are closed after use","StreamConverter","executeMultipleCommandsWithMDC","pipedOut"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",206,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'pipedOut' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","pipedOut"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",206,"AvoidInstantiatingObjectsInLoops","Performance",3,"Avoid instantiating new objects inside loops","StreamConverter","executeMultipleCommandsWithMDC","pipedOut"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",207,"CloseResource","Error Prone",3,"Ensure that resources like this PipedInputStream object are closed after use","StreamConverter","executeMultipleCommandsWithMDC","pipedIn"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",207,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'pipedIn' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","pipedIn"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",207,"AvoidInstantiatingObjectsInLoops","Performance",3,"Avoid instantiating new objects inside loops","StreamConverter","executeMultipleCommandsWithMDC","pipedIn"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",211,"CloseResource","Error Prone",3,"'currentInput' is reassigned, but the original instance is not closed","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",215,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'future' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","future"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",219,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'sequence' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","sequence"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",220,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'stageName' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","stageName"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",232,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'startTime' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","startTime"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",233,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'startInstant' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","startInstant"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",244,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'endTime' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","endTime"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",245,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'endInstant' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","endInstant"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",263,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'endTime' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","endTime"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",264,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'endInstant' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","endInstant"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",289,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'results' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","results"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",290,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'future' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","future"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",293,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'result' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","result"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",302,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'cause' could be declared final","StreamConverter","executeMultipleCommandsWithMDC","cause"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",304,"PreserveStackTrace","Best Practices",3,"Thrown exception does not preserve the stack trace of exception 'e' on all code paths","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",306,"PreserveStackTrace","Best Practices",3,"Thrown exception does not preserve the stack trace of exception 'e' on all code paths","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",308,"PreserveStackTrace","Best Practices",3,"Thrown exception does not preserve the stack trace of exception 'e' on all code paths","StreamConverter","executeMultipleCommandsWithMDC",""
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",334,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'executor' is not assigned and could be declared final","StreamConverter","shutdownExecutor","executor"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",355,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'resources' is not assigned and could be declared final","StreamConverter","closeResources","resources"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",356,"CloseResource","Error Prone",3,"Ensure that resources like this AutoCloseable object are closed after use","StreamConverter","closeResources","resource"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",356,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'resource' could be declared final","StreamConverter","closeResources","resource"
"streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",359,"AvoidCatchingGenericException","Design",3,"Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","StreamConverter","closeResources",""
"streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",1,"PackageCase","Code Style",3,"Package name contains upper case characters","StreamProcessingException","",""
"streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",9,"MissingSerialVersionUID","Error Prone",3,"Classes implementing Serializable should set a serialVersionUID","StreamProcessingException","",""
"streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",16,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'message' is not assigned and could be declared final","StreamProcessingException","StreamProcessingException","message"
"streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",26,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'message' is not assigned and could be declared final","StreamProcessingException","StreamProcessingException","message"
"streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",26,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'cause' is not assigned and could be declared final","StreamProcessingException","StreamProcessingException","cause"
"streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",35,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'cause' is not assigned and could be declared final","StreamProcessingException","StreamProcessingException","cause"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",1,"PackageCase","Code Style",3,"Package name contains upper case characters","PmdReportConverter","",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",28,"AtLeastOneConstructor","Code Style",3,"Each class should declare at least one constructor","PmdReportConverter","",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",32,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'args' is not assigned and could be declared final","PmdReportConverter","main","args"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",32,"SignatureDeclareThrowsException","Design",3,"A method/constructor should not explicitly throw java.lang.Exception","PmdReportConverter","main",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",33,"AvoidLiteralsInIfCondition","Error Prone",3,"Avoid using literals in if statements","PmdReportConverter","main",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",40,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'xmlFile' could be declared final","PmdReportConverter","main","xmlFile"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",41,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'outputDir' could be declared final","PmdReportConverter","main","outputDir"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",43,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'converter' could be declared final","PmdReportConverter","main","converter"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",47,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'xmlFilePath' is not assigned and could be declared final","PmdReportConverter","convertReport","xmlFilePath"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",47,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'outputDir' is not assigned and could be declared final","PmdReportConverter","convertReport","outputDir"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",47,"SignatureDeclareThrowsException","Design",3,"A method/constructor should not explicitly throw java.lang.Exception","PmdReportConverter","convertReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",48,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'xmlPath' could be declared final","PmdReportConverter","convertReport","xmlPath"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",49,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'outputPath' could be declared final","PmdReportConverter","convertReport","outputPath"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",53,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'violations' could be declared final","PmdReportConverter","convertReport","violations"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",74,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'xmlPath' is not assigned and could be declared final","PmdReportConverter","parseXmlReport","xmlPath"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",74,"SignatureDeclareThrowsException","Design",3,"A method/constructor should not explicitly throw java.lang.Exception","PmdReportConverter","parseXmlReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",75,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'builder' could be declared final","PmdReportConverter","parseXmlReport","builder"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",76,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'doc' could be declared final","PmdReportConverter","parseXmlReport","doc"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",78,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'fileNodes' could be declared final","PmdReportConverter","parseXmlReport","fileNodes"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",79,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'violations' could be declared final","PmdReportConverter","parseXmlReport","violations"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",82,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'fileElement' could be declared final","PmdReportConverter","parseXmlReport","fileElement"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",83,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'fileName' could be declared final","PmdReportConverter","parseXmlReport","fileName"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",85,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'violationNodes' could be declared final","PmdReportConverter","parseXmlReport","violationNodes"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",87,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'violationElement' could be declared final","PmdReportConverter","parseXmlReport","violationElement"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",89,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'violation' could be declared final","PmdReportConverter","parseXmlReport","violation"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",90,"AvoidInstantiatingObjectsInLoops","Performance",3,"Avoid instantiating new objects inside loops","PmdReportConverter","parseXmlReport","violation"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",107,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'fullPath' is not assigned and could be declared final","PmdReportConverter","extractRelativePath","fullPath"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",109,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'index' could be declared final","PmdReportConverter","extractRelativePath","index"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",110,"ConfusingTernary","Code Style",3,"Avoid if (x != y) ..; else ..;","PmdReportConverter","extractRelativePath",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",113,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'violations' is not assigned and could be declared final","PmdReportConverter","generateMarkdownReport","violations"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",113,"MethodArgumentCouldBeFinal","Code Style",3,"Parameter 'outputPath' is not assigned and could be declared final","PmdReportConverter","generateMarkdownReport","outputPath"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",115,"ShortVariable","Code Style",3,"Avoid variables with short names like md","PmdReportConverter","generateMarkdownReport","md"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",115,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'md' could be declared final","PmdReportConverter","generateMarkdownReport","md"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",115,"InsufficientStringBufferDeclaration","Performance",3,"StringBuilder has been initialized with size 16, but has at least 348 characters appended.","PmdReportConverter","generateMarkdownReport","md"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",117,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",117,"ConsecutiveLiteralAppends","Performance",3,"StringBuffer (or StringBuilder).append is called 2 consecutive times with literals. Use a single append with a single combined String.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",118,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",118,"ReplaceJavaUtilDate","Error Prone",3,"Usage of java.util.Date should be replaced with classes from java.time","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",118,"AppendCharacterWithChar","Performance",3,"Avoid appending characters as strings in StringBuffer.append.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",118,"ConsecutiveLiteralAppends","Performance",3,"StringBuffer (or StringBuilder).append is called 2 consecutive times with literals. Use a single append with a single combined String.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",119,"ConsecutiveLiteralAppends","Performance",3,"StringBuffer (or StringBuilder).append is called 4 consecutive times with literals. Use a single append with a single combined String.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",122,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'ruleStats' could be declared final","PmdReportConverter","generateMarkdownReport","ruleStats"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",126,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",127,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",135,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'category' could be declared final","PmdReportConverter","generateMarkdownReport","category"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",147,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'fileStats' could be declared final","PmdReportConverter","generateMarkdownReport","fileStats"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",151,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",151,"ConsecutiveLiteralAppends","Performance",3,"StringBuffer (or StringBuilder).append is called 3 consecutive times with literals. Use a single append with a single combined String.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",152,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",167,"LocalVariableCouldBeFinal","Code Style",3,"Local variable 'priorityStats' could be declared final","PmdReportConverter","generateMarkdownReport","priorityStats"
"streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",171,"ConsecutiveAppendsShouldReuse","Performance",3,"StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","PmdReportConverter","generateMarkdownReport",""
